earthquake id,magnitude
usb000j4jx,5.2
usb000j4j6,5.7
usb000j4iz,6.5
usb000j4ia,4.8
usb000j4gh,4.6
usb000j43q,5
usb000j43a,4.7
usb000j3xu,4.7
usb000j3uy,5.1
usb000j3sa,5
usb000j3r2,4.7
usb000j3pp,5.2
usb000j3j6,4.8
usb000j3f2,5
usb000j3cw,5
usb000j34y,4.5
usb000j32y,4.6
usb000j303,4.6
usb000j2zk,4.8
usb000j2xj,5
usb000j2r7,4.9
usb000j2q4,4.5
usb000j29x,4.5
usb000j29s,4.7
usb000j28u,5.3
usb000j275,6.6
usb000j256,4.6
usb000j247,4.6
usb000j1vb,4.6
usb000j1v2,4.7
usb000j1u9,5.1
usb000j1su,4.7
usb000j1r3,4.9
usb000j1pk,4.9
usb000j25k,5.7
usb000j19g,4.7
usb000j13i,4.9
usb000j10u,6.1
usb000j10g,5
usb000j0zw,4.6
usb000j0zb,5.1
usb000j0yl,6
usb000j0xw,4.5
usb000j0ws,4.5
usb000j0vl,6
usb000j0vn,4.8
usb000j0v7,4.6
usb000j0v3,5.2
usb000j0uv,5
usb000j0uj,4.7
usb000j0t5,5.7
usb000j0t6,4.6
hv60521547,4.9
usb000j0pl,4.6
usb000j0pb,4.5
usb000j0nw,4.8
usb000j0mw,4.8
usb000j0mp,5
usb000j0lj,4.6
usb000j0ic,4.8
usb000j0hw,4.8
usb000j0bx,4.6
usb000j0bu,5
usb000j0aw,4.8
usb000j07j,4.6
usb000j07a,5
usb000j06u,4.5
usb000j04d,5
usb000j02p,5
usb000j00s,4.5
usb000izys,4.9
usb000izv4,5
usb000izss,4.8
usb000izil,4.7
usb000izgr,4.6
usb000izgi,4.7
usb000izg0,5
usb000izf7,4.6
usb000izf4,4.6
usb000izdb,4.5
